1,24957,South Rickyton,WA,Norte
2,95333,Port Alexander,NY,Norte
3,99241,South Johnborough,DE,Norte
4,90402,Port Kristina,SD,Norte
5,75597,West Joshua,MP,Sul
6,66952,Port Brittney,SC,Leste
7,99513,Carriebury,NH,Oeste
8,31421,Gonzalezmouth,KS,Norte
9,22524,West Rebeccahaven,SC,Oeste
10,13266,Lake Louis,GA,Norte
11,15656,Estesville,MA,Norte
12,58674,Ballardstad,UT,Sul
13,63980,North Michael,RI,Sul
14,39097,Port Brenda,IL,Leste
15,19927,Moonstad,AR,Sul
16,24300,Lake Vincenthaven,MD,Norte
17,76293,South Sharon,CA,Norte
18,74215,Lake Michaelview,SD,Oeste
19,44939,Lake Danielmouth,AR,Norte
20,56043,Lake Rachel,MT,Leste
